Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,all_energy_types,2000,402.3787223886808,399.8552158428318,66398.356393,6141880.59902,65.51392784367779,6.060070523539365,23494.916283117
World,coal,2000,98.65762994538656,96.35223567253496,66398.356393,6141880.59902,16.06309799658567,1.4858444591828404,8901.519950071843
World,natural_gas,2000,89.60485067943,89.284232201125,66398.356393,6141880.59902,14.589155428017827,1.3495040471947064,4571.850603326
World,petroleum_n_other_liquids,2000,156.6662310775443,156.3524197410136,66398.356393,6141880.59902,25.507860101113334,2.359489595650002,10021.545729717078
Afghanistan,all_energy_types,2000,0.0201780618531999,0.0117067094435683,20.5799,20780.0,0.9710328129547593,0.980474242012833,1.25314859
Afghanistan,coal,2000,2.0833993199919235e-05,1.9792293568357757e-05,20.5799,20780.0,0.001002598325308914,0.0010123466683472338,0.0019438115655524
Afghanistan,natural_gas,2000,0.00850420515,0.00850420515,20.5799,20780.0,0.4092495259865255,0.41322869158742265,0.451204778
Afghanistan,petroleum_n_other_liquids,2000,0.0081291107099999,0.0,20.5799,20780.0,0.391198782964384,0.3950024397591776,0.8
Albania,all_energy_types,2000,0.0980373559405912,0.0608318380883124,17.9665,3129.25,31.32934599044218,5.456675253421156,2.926686734
Albania,coal,2000,0.0010978101092191,0.0002798805846087,17.9665,3129.25,0.3508221168711672,0.06110317030134417,0.0875639583462573
Albania,natural_gas,2000,0.0011060658,0.0011060658,17.9665,3129.25,0.35346034992410325,0.06156267497843208,0.039122776
Albania,petroleum_n_other_liquids,2000,0.045761196031372,0.0130517437037036,17.9665,3129.25,14.623694505511544,2.5470289723302812,2.8
Algeria,all_energy_types,2000,1.2741409095164264,6.190571221848181,277.759,31042.2,41.045444894898765,4.587217370153358,70.688902551
Algeria,coal,2000,0.0161948287457195,0.0,277.759,31042.2,0.5217036403901625,0.058305324924555105,1.6895217443985149
Algeria,natural_gas,2000,0.8182881028,3.3129524162,277.759,31042.2,26.360506111035942,2.9460363221353765,44.999380807
Algeria,petroleum_n_other_liquids,2000,0.4381881000679939,2.877078152648181,277.759,31042.2,14.115884185656748,1.57758380490999,24.0
American Samoa,all_energy_types,2000,0.0078371031199999,0.0,,57.821,135.54077445910485,,0.562878562
American Samoa,coal,2000,0.0,0.0,,57.821,0.0,,0.0
American Samoa,natural_gas,2000,0.0,0.0,,57.821,0.0,,0.0
American Samoa,petroleum_n_other_liquids,2000,0.0078371031199999,0.0,,57.821,135.54077445910485,,0.5628785621348409
Angola,all_energy_types,2000,0.1107173657809459,1.6224072985306923,70.7766,16395.5,6.752911822204013,1.5643216229791472,5.698585546
Angola,coal,2000,0.0,0.0,70.7766,16395.5,0.0,0.0,0.0
Angola,natural_gas,2000,0.02107563885,0.02107563885,70.7766,16395.5,1.2854526455429844,0.2977769326302761,1.098585546
Angola,petroleum_n_other_liquids,2000,0.0804302239309459,1.5921201566806922,70.7766,16395.5,4.9056280034732636,1.1363957004284735,4.6
Antigua and Barbuda,all_energy_types,2000,0.0072893021299999,0.0,1.41604,76.007,95.90303695712105,5.147666824383421,0.5
Antigua and Barbuda,coal,2000,0.0,0.0,1.41604,76.007,0.0,0.0,0.0
Antigua and Barbuda,natural_gas,2000,0.0,0.0,1.41604,76.007,0.0,0.0,0.0
Antigua and Barbuda,petroleum_n_other_liquids,2000,0.0072893021299999,0.0,1.41604,76.007,95.90303695712105,5.147666824383421,0.5
Argentina,all_energy_types,2000,2.753287393941842,3.490954098003505,601.221,36921.7,74.57098112876282,4.579493054869744,139.373299261
Argentina,coal,2000,0.0287272355844662,0.0058007663756807,601.221,36921.7,0.7780583121705177,0.0477814906406566,3.012014386290295
Argentina,natural_gas,2000,1.22558765175,1.38058518675,601.221,36921.7,33.19423676997538,2.0384977433422984,63.361284875
Argentina,petroleum_n_other_liquids,2000,1.126806919147422,1.7366326191378247,601.221,36921.7,30.518825491443295,1.8741975399186355,73.0
Armenia,all_energy_types,2000,0.1002271070482055,0.034304848,10.7777,3069.6,32.65152040924078,9.299489413159163,7.743406613
Armenia,coal,2000,5.9609568205547214e-05,0.0,10.7777,3069.6,0.019419327666649472,0.005530824592032364,0.0127363369196757
Armenia,natural_gas,2000,0.05213447505,0.0,10.7777,3069.6,16.984126612587957,4.83725424255639,2.530670276
Armenia,petroleum_n_other_liquids,2000,0.01514415443,0.0,10.7777,3069.6,4.933592139040917,1.4051378707887583,5.2
Aruba,all_energy_types,2000,0.01507269095,0.0,2.96548,90.866,165.87822672946976,5.082715428868177,0.9
Aruba,coal,2000,0.0,0.0,2.96548,90.866,0.0,0.0,0.0
Aruba,natural_gas,2000,0.0,0.0,2.96548,90.866,0.0,0.0,0.0
Aruba,petroleum_n_other_liquids,2000,0.01507269095,0.0,2.96548,90.866,165.87822672946976,5.082715428868177,0.9
Australia,all_energy_types,2000,4.798319763298298,9.639283804942345,718.054,19057.72,251.77826955681462,6.682394030669418,349.08021863
Australia,coal,2000,2.0241062029708856,6.627983035523831,718.054,19057.72,106.20925288916436,2.818877414471454,192.7655291325817
Australia,natural_gas,2000,0.84955254293,1.250564220815,718.054,19057.72,44.577868859968554,1.1831318298205984,42.933256025
Australia,petroleum_n_other_liquids,2000,1.748792672430486,1.5830147266035124,718.054,19057.72,91.76295340840804,2.435461222178953,113.381433472
Austria,all_energy_types,2000,1.3576428223216257,0.5655109670949436,350.4684,8013.915,169.4106840815788,3.8737952475076947,62.034951581
